現位置,層級,檔數,GB,建議歸位,信心
2020-08-14-08-16峨眉書院生活營：新竹峨眉書院,資料夾,46,23.89,K90.歷年活動（入年夾）,高
2023-01-31靈隱寺點傳師班,資料夾,45,66.33,K90.歷年活動（入年夾）,高
2021泰國發一線上聯合班程,資料夾,35,38.66,K90.歷年活動（入年夾）,高
2019-07-05-07-08峨眉書院生活營：新竹峨眉書院,資料夾,28,5.77,K90.歷年活動（入年夾）,高
2019-05-31-06-09印尼慈青幹部台灣朝聖團研習,資料夾,27,5.44,K90.歷年活動（入年夾）,高
2018-11-01峨眉書院朝聖聯誼,資料夾,25,2.22,K90.歷年活動（入年夾）,高
2021-09-12靈隱寺中秋拜節,資料夾,18,8.29,K90.歷年活動（入年夾）,高
2021靈隱寺至善班,資料夾,18,4.73,K90.歷年活動（入年夾）,高
2021靈隱桃園明聖經線上課程,資料夾,18,4.5,K90.歷年活動（入年夾）,高
2021靈隱寺線上課程,資料夾,15,14.09,K90.歷年活動（入年夾）,高
2017-11-05靈隱寺建廟四十週年紀念會,資料夾,13,11.09,K90.歷年活動（入年夾）,高
2017-12-03泰國慈化樓落成,資料夾,13,3.87,K90.歷年活動（入年夾）,高
2009-01-09董經理寫春聯,資料夾,11,0.32,K90.歷年活動（入年夾）,高
2017-07-01~03仲夏夜之夢生活營,資料夾,11,2.03,K90.歷年活動（入年夾）,高
2003年泰南海嘯紀錄片,資料夾,10,0.22,K90.歷年活動（入年夾）,高
2005年健康講座：人類的祖先原本是素食者,資料夾,10,3.64,K90.歷年活動（入年夾）,高
2018-01-21峨眉書院靈隱尋根之旅,資料夾,10,6.57,K90.歷年活動（入年夾）,高
2021經典班師資培訓,資料夾,9,7.19,K90.歷年活動（入年夾）,高
2017-05-20三峽泰然講座,資料夾,8,31.7,K90.歷年活動（入年夾）,高
2023-02-19峨眉書院講師講員精進班,資料夾,8,4.54,K90.歷年活動（入年夾）,高
2008-09-03(3)峨眉書院華語師資班於平鎮廖氏壇(黃素暖講師教學示範),資料夾,7,1.76,K90.歷年活動（入年夾）,高
2008天元道院青少年班(Tianyuan Youth Class),資料夾,7,0.48,K90.歷年活動（入年夾）,高
2018-03-18峨眉青年整合班開班,資料夾,7,1.6,K90.歷年活動（入年夾）,高
2021-02-20-21靈隱道場經理班,資料夾,7,15.34,K90.歷年活動（入年夾）,高
2017-05-20靈隱寺文獻研討會,資料夾,6,35.11,K90.歷年活動（入年夾）,高
2018-02-20道務文書研習會,資料夾,6,41.21,K90.歷年活動（入年夾）,高
2018-07-20-07-22金門感恩之旅,資料夾,6,2.07,K90.歷年活動（入年夾）,高
2020-07-26中和圓和佛堂開壇,資料夾,6,0.76,K90.歷年活動（入年夾）,高
2021-04-24峨眉書院天廚組培訓,資料夾,6,9.3,K90.歷年活動（入年夾）,高
2021易德彌勒人才班,資料夾,6,1.36,K90.歷年活動（入年夾）,高
2008-05-11(0)峨眉書院文書組開會,資料夾,5,0.29,K90.歷年活動（入年夾）,高
2009-01-30峨眉書院新春團拜,資料夾,5,0.39,K90.歷年活動（入年夾）,高
2010-04-17(6)李招名鍾佳欣婚禮,資料夾,5,0.53,K90.歷年活動（入年夾）,高
2017-07-05三峽新屋,資料夾,5,0.3,K90.歷年活動（入年夾）,高
2020-10-31峨眉書院號召令半天班,資料夾,5,4.13,K90.歷年活動（入年夾）,高
2021-04-11峨眉書院固本培德班,資料夾,5,13.08,K90.歷年活動（入年夾）,高
2022-01-17義德兄弟道場拜年,資料夾,5,0.95,K90.歷年活動（入年夾）,高
2022經典班師資培訓,資料夾,5,3.44,K90.歷年活動（入年夾）,高
2004-08-23亞齊海邊,資料夾,4,0.08,K90.歷年活動（入年夾）,高
2005慧慈菩薩成道五週年紀念,資料夾,4,0.29,K90.歷年活動（入年夾）,高
2011-01-23(0)峨眉書院義德壇三十八週年慶：義風遠颺,資料夾,4,1.92,K90.歷年活動（入年夾）,高
2011-10-09(0)靈隱寺朝聖歡迎晚會前為李老點傳師演奏,資料夾,4,2.86,K90.歷年活動（入年夾）,高
2013-05-12峨眉書院孝親活動,資料夾,4,1.49,K90.歷年活動（入年夾）,高
2018-01-14迷你桌遊融入研究班：發一崇德正和書院：孫寶蓮講師,資料夾,4,5.35,K90.歷年活動（入年夾）,高
2021-06-13峨眉書院固本培德班,資料夾,4,7.52,K90.歷年活動（入年夾）,高
2021-07-11峨眉書院綜合精進班,資料夾,4,7.42,K90.歷年活動（入年夾）,高
2011-04-04(1)印度：慈愿壇：鄰居的兒子生日歌會：錄影,資料夾,3,4.99,K90.歷年活動（入年夾）,高
2018-02-20峨眉書院新春團拜,資料夾,3,3.57,K90.歷年活動（入年夾）,高
2018-04-15峨眉青年整合班,資料夾,3,0.29,K90.歷年活動（入年夾）,高
2019-07-27-28伙食團成長營,資料夾,3,6.03,K90.歷年活動（入年夾）,高
2021-03-14峨眉書院固本培德班,資料夾,3,5.68,K90.歷年活動（入年夾）,高
2021-10-29靈隱寺文書部影音組集體請命,資料夾,3,0.7,K90.歷年活動（入年夾）,高
2008峨眉書院新春團拜,資料夾,2,3.53,K90.歷年活動（入年夾）,高
2010-11-21(0)天元道院廿五週年慶典,資料夾,2,1.47,K90.歷年活動（入年夾）,高
2017-09-16文獻工作研習營,資料夾,2,11.41,K90.歷年活動（入年夾）,高
2018-08-11-08-12青少年學道育樂營,資料夾,2,1.23,K90.歷年活動（入年夾）,高
2018-08-17-08-19國際青年學道營,資料夾,2,6.86,K90.歷年活動（入年夾）,高
2018-12-09峨眉書院年終精進班：講師壇主班：峨眉書院,資料夾,2,0.04,K90.歷年活動（入年夾）,高
2019-03-17峨眉青年整合班,資料夾,2,3.7,K90.歷年活動（入年夾）,高
2020-01-30峨眉書院新春團拜,資料夾,2,1.01,K90.歷年活動（入年夾）,高
2020-10-14靈隱寺號召令點傳師班,資料夾,2,1.94,K90.歷年活動（入年夾）,高
2021-06-27~28發一崇德全台學界大專立德班線上專題講座：疫情中，學子如何精進？,資料夾,2,4.37,K90.歷年活動（入年夾）,高
2021-11-20靈隱寺文書精進班：圓滿人生系列：生平事略撰寫,資料夾,2,1.11,K90.歷年活動（入年夾）,高
2022靈隱關聖帝君伏魔真經線上課程,資料夾,2,2.2,K90.歷年活動（入年夾）,高
2023-03-12峨眉書院綜合班：固本培德集愿過劫,資料夾,2,0.33,K90.歷年活動（入年夾）,高
2019-01-21義德兄弟道場拜年,資料夾,1,0.25,K90.歷年活動（入年夾）,高
(根目錄) 2023-01-31靈隱寺點傳師班：空拍.mp4,散檔,1,0.105,K90.歷年活動（入年夾）,高
(根目錄) 2023-01-26印尼道場：回顧2022年.mp4,散檔,1,0.763,K90.歷年活動（入年夾）,高
(根目錄) 2022-12天聖佛院興建進度.mp4,散檔,1,0.245,K90.歷年活動（入年夾）,高
(根目錄) 2023-01-20故李老點傳師告別奠禮：長青老樹蔭群黎.mp4,散檔,1,0.708,K90.歷年活動（入年夾）,高
(根目錄) 2023-01-07靈隱寺拜年：獻供及前賢慈勉.mp4,散檔,1,0.233,K90.歷年活動（入年夾）,高
(根目錄) 2022-08-07峨眉書院文書培訓.mp4,散檔,1,0.73,K90.歷年活動（入年夾）,高
(根目錄) 2022-09-07印尼中心中秋拜節.mp4,散檔,1,0.239,K90.歷年活動（入年夾）,高
(根目錄) 2022-05-14靈隱寺直播研習.mp4,散檔,1,0.658,K90.歷年活動（入年夾）,高
(根目錄) 2022-01-16靈隱寺春節拜早年.mp4,散檔,1,2.789,K90.歷年活動（入年夾）,高
(根目錄) 2021-12-26靈隱寺學務部：號召百萬經文祈福迴向活動.mp4,散檔,1,0.895,K90.歷年活動（入年夾）,高
(根目錄) 2021-06-03OBS與Meet教學.mp4,散檔,1,0.031,K90.歷年活動（入年夾）,高
(根目錄) 2021-08-29Cultivation During COVID-19.mp4,散檔,1,0.09,K90.歷年活動（入年夾）,高
(根目錄) 2021-08-22靈隱寺道育班師資培訓：學務人才的愿力與使命.mp4,散檔,1,0.218,K90.歷年活動（入年夾）,高
(根目錄) 2021-03-25靈隱道場駐寺經理輪值講習.mp4,散檔,1,3.297,K90.歷年活動（入年夾）,高
(根目錄) 2021-02-21靈隱儒院全區配置 3D示意圖.mp4,散檔,1,0.262,K90.歷年活動（入年夾）,高
(根目錄) 2020-12-12新加坡化星壇學務組回顧(1987-2020).mp4,散檔,1,0.416,K90.歷年活動（入年夾）,高
(根目錄) 2020-10-25慧心慈行：慧慈菩薩成道二十週年紀念影片.mp4,散檔,1,2.14,K90.歷年活動（入年夾）,高
(根目錄) 2020-10-14靈隱寺點傳師號召令一天班.mp4,散檔,1,1.064,K90.歷年活動（入年夾）,高
(根目錄) 2020-09-24慧繼慈航落成廿周年暨合寧仙君成道卅二周年紀念會：百代先賢感恩傳承（全）.mp4,散檔,1,6.583,K90.歷年活動（入年夾）,高
(根目錄) 2020-05-23道的寶貴有什麼可以印證：曾淑玲講師.mp4,散檔,1,0.451,K90.歷年活動（入年夾）,高
(根目錄) 2020-04-26德化文德與峨眉道場文書組交流會.mp4,散檔,1,0.58,K90.歷年活動（入年夾）,高
(根目錄) 2019-10-26靈隱源流.mp4,散檔,1,1.118,K90.歷年活動（入年夾）,高
(根目錄) 2019-12-14靈隱寺導覽志工培訓回顧.mp4,散檔,1,1.0,K90.歷年活動（入年夾）,高
(根目錄) 2019-10-26靈隱寺群音會.mp4,散檔,1,0.455,K90.歷年活動（入年夾）,高
(根目錄) 2019中華文化在海外華人華僑中的傳播與傳承.mp4,散檔,1,0.149,K90.歷年活動（入年夾）,高
(根目錄) 2019-08-17~08-18青少年學道育樂營回顧.mp4,散檔,1,1.37,K90.歷年活動（入年夾）,高
(根目錄) 2019-02-05台中武聖宮新春祈福團拜.mp4,散檔,1,0.334,K90.歷年活動（入年夾）,高
(根目錄) 2019-01-14中國社科院與一貫道總會參訪泰國奉恩中心.mp4,散檔,1,0.428,K90.歷年活動（入年夾）,高
(根目錄) 2018-09-15~09-16靈隱寺中秋拜節.mp4,散檔,1,0.17,K90.歷年活動（入年夾）,高
(根目錄) 2017-11-03靈隱禮讚.mpg,散檔,1,3.385,K90.歷年活動（入年夾）,高
(根目錄) 2018-09-29文書精進班：出版軟體實務：ID造字教學.mp4,散檔,1,0.044,K90.歷年活動（入年夾）,高
(根目錄) 2018-08-11靈隱寺志工導覽培訓回顧影片.mp4,散檔,1,0.52,K90.歷年活動（入年夾）,高
(根目錄) 2016-05-16渡人成全人從關心開始：發一崇德正和書院：孫寶蓮.mp4,散檔,1,1.986,K90.歷年活動（入年夾）,高
(根目錄) 2018-05-02靈隱寺母親節：塵緣.mov,散檔,1,0.447,K90.歷年活動（入年夾）,高
(根目錄) 2018-03-23陳慧真講師生命光碟.mp4,散檔,1,0.161,K90.歷年活動（入年夾）,高
(根目錄) 2018-02-05義德兄弟道場拜年：恭祝新年.mp4,散檔,1,0.185,K90.歷年活動（入年夾）,高
(根目錄) 2017-05-21明心青年班：劉恆垣講師.mp4,散檔,1,21.689,K90.歷年活動（入年夾）,高
(根目錄) 2016靈隱和宣年度回顧：接上@愛源頭.mp4,散檔,1,0.26,K90.歷年活動（入年夾）,高
(根目錄) 2016-12-17靈隱和宣柬埔寨道場回顧影片：達賢達聖.mp4,散檔,1,0.183,K90.歷年活動（入年夾）,高
(根目錄) 2017-01-08中區文書培訓：回顧.wmv,散檔,1,0.108,K90.歷年活動（入年夾）,高
(根目錄) 2016道化喪禮dvd.mp4,散檔,1,0.399,K90.歷年活動（入年夾）,高
(根目錄) 2014-11-25印成仙君：37分.wmv,散檔,1,1.923,K90.歷年活動（入年夾）,高
(根目錄) 2016-07-02~05西遊記體驗營.avi,散檔,1,1.719,K90.歷年活動（入年夾）,高
(根目錄) 2015-10-02天慈至聖殿用：工程過程.mpg,散檔,1,2.07,K90.歷年活動（入年夾）,高
(根目錄) 2015-08-15~16青年體驗營回顧.avi,散檔,1,1.009,K90.歷年活動（入年夾）,高
(根目錄) 1983-11-20武聖宮落成.mpg,散檔,1,0.134,K90.歷年活動（入年夾）,高
下載,資料夾,14,14.62,K待判:下載,低
學務：兒童生活教育,資料夾,11,0.13,K待判:學務：兒童生活教育,低
學務：品格教育,資料夾,18,0.27,K待判:學務：品格教育,低
學務：常禮舉要,資料夾,12,0.25,K待判:學務：常禮舉要,低
峨眉書院冬季大典（19:20開始） - 2026,資料夾,1,1.28,K待判:峨眉書院冬季大典（19:20開始） - 2026,低
峨眉書院年終精進班 - 2026,資料夾,1,6.66,K待判:峨眉書院年終精進班 - 2026,低
弘道：因果輪迴的科學證明,資料夾,9,0.67,K待判:弘道：因果輪迴的科學證明,低
弘道：彌勒真經註解：郭明義：mp4,資料夾,43,0.38,K待判:弘道：彌勒真經註解：郭明義：mp4,低
弘道：業力與念力,資料夾,6,1.91,K待判:弘道：業力與念力,低
文教：金剛煉性功,資料夾,4,0.12,K待判:文教：金剛煉性功,低
文教：防身術及練氣回春,資料夾,14,4.18,K待判:文教：防身術及練氣回春,低
文教：離苦得樂,資料夾,9,3.87,K待判:文教：離苦得樂,低
(根目錄) 化星菩提道院.mp4,散檔,1,0.227,K待判:根目錄散檔,低
(根目錄) 長青老樹蔭群黎：秀娟版.mp4,散檔,1,0.078,K待判:根目錄散檔,低
(根目錄) 287-靈隱之歌.mp4,散檔,1,0.026,K待判:根目錄散檔,低
(根目錄) 團隊運作同心同德：發一天恩群英崇恩佛堂：董點傳師慈悲.mp4,散檔,1,0.529,K待判:根目錄散檔,低
(根目錄) 佛說大千世界變相圖.mp4,散檔,1,0.046,K待判:根目錄散檔,低
(根目錄) 印尼公義壇3D設計.mp4,散檔,1,0.066,K待判:根目錄散檔,低
(根目錄) 天聚禮讚.mp4,散檔,1,0.305,K待判:根目錄散檔,低
(根目錄) 文慈禮讚.mp4,散檔,1,0.341,K待判:根目錄散檔,低
(根目錄) 發一：ㄧ貫薪傳：白水老人開荒闡道六十週年感恩紀念.iso,散檔,1,3.759,K待判:根目錄散檔,低
(根目錄) 靈隱：菩薩愿行：文慈菩薩成道紀念專輯.mp4,散檔,1,0.191,K待判:根目錄散檔,低
(根目錄) 尊師重道：懿德流芳：慈愛林經理.mp4,散檔,1,0.04,K待判:根目錄散檔,低
(根目錄) 靈隱寺暫定禮節示範演練.iso,散檔,1,4.334,K待判:根目錄散檔,低
(根目錄) 弘德.iso,散檔,1,0.535,K待判:根目錄散檔,低
(根目錄) 靈隱：靈機普化：靈化菩薩成道二十週年紀念.mp4,散檔,1,0.159,K待判:根目錄散檔,低
(根目錄) 榜文.wmv,散檔,1,0.029,K待判:根目錄散檔,低
(根目錄) 覺證文教基金會：讀經親子家庭營.mp4,散檔,1,0.158,K待判:根目錄散檔,低
(根目錄) 靈隱：道史館簡介.mp4,散檔,1,0.782,K待判:根目錄散檔,低
(根目錄) 靈隱：一萬叩首：師母事蹟.wmv,散檔,1,0.007,K待判:根目錄散檔,低
楊經理訪談（13:00開始） - 2026,資料夾,1,0.32,K待判:楊經理訪談（13:00開始） - 2026,低
發一組：白水老人成道十週年紀念,資料夾,4,5.09,K待判:發一組：白水老人成道十週年紀念,低
發一組：白水聖帝成道廿週年感恩紀念專輯：永續聖業薪火相傳,資料夾,5,5.83,K待判:發一組：白水聖帝成道廿週年感恩紀念專輯：永續聖業薪火相傳,低
空拍：空拍影片區,資料夾,37,53.4,K待判:空拍：空拍影片區,低
靈隱：天慈啟航再肇新猷：天慈佛院落成二十週年紀念,資料夾,7,3.09,K待判:靈隱：天慈啟航再肇新猷：天慈佛院落成二十週年紀念,低
靈隱：活佛師尊六十週年,資料夾,23,6.38,K待判:靈隱：活佛師尊六十週年,低
靈隱：育儒佛堂喬遷誌喜,資料夾,1,0.19,K待判:靈隱：育儒佛堂喬遷誌喜,低
