現位置,層級,檔數,GB,建議歸位,信心
(根目錄) 2020-03-26因應新冠狀病毒的幾點建議-楊講師／在動盪時局中的省思-正知正念正心正思-董點傳師.mp3,散檔,1,0.124,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2020-03-08峨眉書院聯絡圈.mp3,散檔,1,0.277,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2019-12-15峨眉青年整合班：前賢慈勉：李永清經理.mp3,散檔,1,0.023,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2019-08-22靈隱文書組秘書小組會議.mp3,散檔,1,0.104,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2019-06-16靈隱文書組秘書小組會議.mp3,散檔,1,0.135,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2019-05-23靈隱文書組秘書小組會議.mp3,散檔,1,0.044,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2019-04-16靈隱文書組秘書小組會議.mp3,散檔,1,0.15,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2019-01-20峨眉青年整合班：前賢勉語：曾璽如點傳師.mp3,散檔,1,0.024,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2019-01-20法會文書培訓班：前賢勉語：曾璽如點傳師.mp3,散檔,1,0.017,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-11-14(3)2019靈隱寺春節報名系統會議.mp3,散檔,1,0.102,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-11-08靈隱寺朝聖文書檢討會.mp3,散檔,1,0.148,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-09-30板橋聖恩一天法會：前賢慈勉：李經理慈悲.m4a,散檔,1,0.018,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-09-11板橋區小聯絡圈：曾經理慈悲.m4a,散檔,1,0.012,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-09-05峨眉書院策劃會：吳經理慈悲.m4a,散檔,1,0.008,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-03-27文獻小組會議.mp3,散檔,1,0.124,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2017-10-08峨眉書院師資培訓：賴經理慈悲：訓文劉經理.mp3,散檔,1,0.113,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-06-30峨眉書院生活營：不學禮，無以立：洪麗娟.mp3,散檔,1,0.089,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-07-07峨眉書院文書組：道務系統會議.mp3,散檔,1,0.116,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-07-08基礎研究班師資培訓：前賢結語：宋點傳師.mp3,散檔,1,0.012,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-03-13文獻小組會議.mp3,散檔,1,0.14,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-03-11峨眉書院各組協調會議.MP3,散檔,1,0.099,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-03-11峨眉書院信徒大會.mp3,散檔,1,0.057,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2007-06-07 黃進芳點傳師慈勉：溫尼辟慈化道院.mp3,散檔,1,0.062,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-05-13峨眉書院文書組：道務系統會議.mp3,散檔,1,0.113,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2017-11明真書院唐講師訪談.mp3,散檔,1,0.057,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2013-01-10(4)弘德道場道務重整方案：董經理：明道書院：1.mp3,散檔,1,0.005,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2013-01-10(4)弘德道場道務重整方案：董經理：明道書院：2.mp3,散檔,1,0.013,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2013-01-14(1)會議操持研討會：羅宴云主講.mp3,散檔,1,0.034,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2017-09-10道義題解培訓要點：劉經理.MP3,散檔,1,0.031,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2017-10-05峨眉書院策劃會：劉經理慈悲.MP3,散檔,1,0.01,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2017-10-08峨眉書院師資培訓：前賢結語：賴經理.mp3,散檔,1,0.01,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2017-10-12峨眉書院靈隱家風尋根之旅策劃會.MP3,散檔,1,0.109,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-06-30峨眉書院生活營：班主任慈悲：曾點傳師慈悲.MP3,散檔,1,0.007,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-07-08峨眉修繕策畫會.MP3,散檔,1,0.115,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-08-04英語弘法研習班：人生何處去：楊振敏講師.MP3,散檔,1,0.103,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-07-22金門基礎班暨辦事人員班文書檢討會.MP3,散檔,1,0.053,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-07-14英語弘法研習班：談三寶：董點傳師慈悲.mp3,散檔,1,0.128,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-07-13板橋聖恩綜合班：開課：劉經理.m4a,散檔,1,0.044,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-07-11顧鴻龍點傳師訪談.MP3,散檔,1,0.159,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-05-02峨眉書院策劃會：曾經理慈悲.m4a,散檔,1,0.01,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-04-25黃經理：靈隱前人行誼：崇德學院.MP3,散檔,1,0.142,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-01-03峨眉書院策劃會：前賢結語：賴經理慈悲.mp3,散檔,1,0.006,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-01-03峨眉書院策劃會：前賢慈勉：賴經理慈悲.mp3,散檔,1,0.004,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-03-18法會文書培訓班：前賢慈勉：曾點傳師慈悲.mp3,散檔,1,0.015,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2018-03-18板橋劉氏讀書會：前賢慈勉：陳允睿點傳師慈悲.mp3,散檔,1,0.007,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2017-10-17板橋區小聯絡圈：劉經理慈悲.m4a,散檔,1,0.015,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2017-09-22峨眉書院成全組會議：青年整合班程.mp3,散檔,1,0.111,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2017-09-08峨眉書院成全組會議：青年整合班程.mp3,散檔,1,0.104,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2017-08-25峨眉書院成全組會議：青年整合班程.mp3,散檔,1,0.144,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2016-06-12(0)操辦人員應有的理念與素養：林榮澤經理.mp3,散檔,1,0.076,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2014-06-28(6)聖恩青年班：身心靈的安頓：楊明達.MP3,散檔,1,0.081,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2019-10-20峨眉書院綜合班：打開心門：周講師.mp3,散檔,1,0.211,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2012-12-26(3)道場管理：羅宴云：2.wma,散檔,1,0.012,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2012-12-26(3)道場管理：羅宴云：1.wma,散檔,1,0.058,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2012-09-18(2)印度道務會議(20h49m開始).mp3,散檔,1,0.009,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2012-08-19印尼真智儒院三天法會：濟公活佛臨壇.mp3,散檔,1,0.136,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2012-04-11(3)關於誦經迴向：蘇樹宗講師.mp3,散檔,1,0.076,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2010-05-09(0)宋秀琴點傳師講述邱秀珠壇主經過.MP3,散檔,1,0.004,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-10-09(5)聖恩壇三十週年慶.mp3,散檔,1,0.169,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-07-31(5)@08-11蔡韶悅點傳師為大陸道親慈悲於印尼棉蘭正心壇(正心壇華語三天法會畢班隔天早上).MP3,散檔,1,0.105,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2007-07-29(3)@10-30-48文殊菩薩慈訓(老蔡點傳師講孝道).MP3,散檔,1,0.006,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-07-10(5)開班意義(老蔡點傳師將於印尼巴眼儀仁壇三天法會第一天).mp3,散檔,1,0.016,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-07-07(2)@20-30-23老蔡點傳師慈悲大學首章(印尼北干月明壇閏五月十五晚間).MP3,散檔,1,0.103,H90.歷年活動（依檔名年份入年夾）,高
"(根目錄) 2009-07-09(4)@20-24-16老蔡點傳師慈悲(福建話,印尼巴眼儀仁壇三天法會前夕).mp3",散檔,1,0.011,H90.歷年活動（依檔名年份入年夾）,高
"(根目錄) 2009-07-06@13-24-59老蔡點傳師慈悲(手電筒的故事,午餐後於北干月明壇).MP3",散檔,1,0.041,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-07-06@08-47-12老蔡點傳師慈悲於北干鄭家.MP3,散檔,1,0.078,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-07-06@06-57-19老蔡點傳師講心經(早餐前於北干月明壇頂樓).MP3,散檔,1,0.053,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-07-04(6)@14-00-11印尼北干月明壇三天法會第二天活佛師尊慈訓.mp3,散檔,1,0.072,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-07-04(6)@09-50-15孝道(蔡韶悅點傳師於印尼北干月明壇三天法會第二天).mp3,散檔,1,0.222,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-06-28(0)@08-16-13印尼奇沙蘭兩天複習班第二天活佛師尊慈訓.MP3,散檔,1,0.075,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-06-25(4)老蔡點傳師慈悲於托巴湖.MP3,散檔,1,0.014,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2008-08-30(6)14-31-23.wma,散檔,1,0.124,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-06-18(4)棉蘭正心壇學務文書座談自我介紹.MP3,散檔,1,0.084,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-06-18(4) Bengawan Solo (棉蘭正心壇學務文書第二次合唱).MP3,散檔,1,0.002,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-06-18(4) Bengawan Solo (棉蘭正心壇學務文書第一次合唱).MP3,散檔,1,0.002,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-04-21(2)讀經班訪談(華江齡講師).MP3,散檔,1,0.094,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-04-10~12老師：紐西蘭聖慈.wav,散檔,1,0.036,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-04-17(5)認理歸真－道是什麼(宋經理講述).mp3,散檔,1,0.04,H90.歷年活動（依檔名年份入年夾）,高
"(根目錄) 2009-04-17(5)認理歸真－道是什麼(宋經理講述,歐講師補充).mp3",散檔,1,0.066,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-03-17(2)開荒組印尼道務支援會議.MP3,散檔,1,0.122,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-03-20(5)粘秀祝點傳師生平介紹與證道.MP3,散檔,1,0.066,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-02-09(1)金剛經簡介：董招賢點傳師：靈隱寺.mp3,散檔,1,0.081,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-01-24孔孟聖道.mp3,散檔,1,0.038,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-01-21孔孟聖道儒門心法.mp3,散檔,1,0.039,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2008-12-28(0)峨眉書院年終檢討精進班第二天活佛師尊慈訓.mp3,散檔,1,0.047,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2008-12-01(1)靈隱寺法會文書行前會議.mp3,散檔,1,0.091,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2008-11-29(6)白水老人來臺開荒六十週年感恩紀念大會於崇德佛院.mp3,散檔,1,0.011,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2008-09-25談中華文化：雪梨化性.mp3,散檔,1,0.032,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2008-09-07天道一貫彌勒因緣：董招賢經理.mp3,散檔,1,0.076,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2008-09-07天命與道統：向漢岳講師.mp3,散檔,1,0.053,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2008-08-20(3) 孔奕欣主講華語師資認證.mp3,散檔,1,0.084,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2008-09-10(3)華語師資培訓：畢班：中壢廖氏壇.wav,散檔,1,0.274,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2008-09-03(3)華語師資班：黃素暖講師：中壢廖氏壇.wav,散檔,1,0.28,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2008-08-27(3)靈隱寺華語教學展望：蔡碧金講師：中壢廖氏壇.wav,散檔,1,0.805,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2008-06-29泰國清邁廣智佛規愿行班：淚光(老師).mp3,散檔,1,0.003,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2008-05-03藍采和大仙：天慈佛院.wma,散檔,1,0.006,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2008-03-23峨眉書院聯絡圈：養生之道：歐講師.wav,散檔,1,3.185,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2008-03-12萬隆宣德壇普通一天班.Mp3,散檔,1,0.074,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2008-02-09~11老師臨壇全程錄音武聖宮三天法會.mp3,散檔,1,0.37,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2009-01-29(4)靈隱寺華語師資培訓：班規說明、前賢慈勉：董點傳師、黎點傳師.mp3,散檔,1,0.066,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2013-03-10(0)峨眉書院道務重整說明會.MP3,散檔,1,0.067,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2007-12-11清萊府立志壇一天佛規禮節班濟公活佛.MP3,散檔,1,0.051,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2008-10-07保養學養修養：聖慈.MP3,散檔,1,0.097,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2006-03-20 蘇樹宗：一貫義理：天慈.wma,散檔,1,0.021,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2006-03-20 天慈讀大學全書大旨.wma,散檔,1,0.024,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2008-04-23泰國孝經十八章章旨導讀之一：蘇講師.WAV,散檔,1,0.156,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2008-04-20董經理談經營紐西蘭：泰國.WAV,散檔,1,0.043,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2006-07-14-07-16菲律賓天霖佛院三天法會.wav,散檔,1,0.027,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2005-11-11開沙訓：巴淡三天班.MP3,散檔,1,0.006,H90.歷年活動（依檔名年份入年夾）,高
(根目錄) 2004恩師慈悲：化星壇.MP3,散檔,1,0.154,H90.歷年活動（依檔名年份入年夾）,高
2017-06-11發一崇德：孫寶蓮講師資料,資料夾,786,29.17,H90.歷年活動（原夾名保留，入年夾）,高
2008-08-23 靈隱寺道德經培訓班,資料夾,124,0.79,H90.歷年活動（原夾名保留，入年夾）,高
2009-02-04(3)~06(5)靈隱寺明德班師資培訓,資料夾,71,6.71,H90.歷年活動（原夾名保留，入年夾）,高
"2004-09-18~10-15 蘇樹宗講師主講易經及論語(溫哥華,音量需要放大)",資料夾,58,0.63,H90.歷年活動（原夾名保留，入年夾）,高
2008-12-27.28 峨眉書院 年終一天檢討班＿錄音檔,資料夾,41,1.74,H90.歷年活動（原夾名保留，入年夾）,高
2009-02-09(1)~12(4)靈隱寺金剛經培訓班,資料夾,32,2.21,H90.歷年活動（原夾名保留，入年夾）,高
2017-11-06~11靈隱寺朝聖中庸師資培訓,資料夾,28,2.94,H90.歷年活動（原夾名保留，入年夾）,高
2008年天元道院暑期青少年育樂營 Tian Yuan Youth Class 2008,資料夾,25,0.0,H90.歷年活動（原夾名保留，入年夾）,高
2007-07中庸經典班：董經理：馬來西亞,資料夾,22,0.74,H90.歷年活動（原夾名保留，入年夾）,高
2019-07-13-07-15靈隱寺日本道場文書培訓,資料夾,22,2.95,H90.歷年活動（原夾名保留，入年夾）,高
2009-08-15(6)~17(1)雅加達道務成長營,資料夾,21,0.16,H90.歷年活動（原夾名保留，入年夾）,高
2008-10-12易經：聖慈,資料夾,20,2.24,H90.歷年活動（原夾名保留，入年夾）,高
"2009-04-11(6),18(6)普通研究班課題培訓：認理歸真",資料夾,19,0.62,H90.歷年活動（原夾名保留，入年夾）,高
2015-03-05(4)道義題解卷二講解：三峽明道書院,資料夾,19,0.77,H90.歷年活動（原夾名保留，入年夾）,高
2019-07-27-28伙食團成長營,資料夾,19,1.19,H90.歷年活動（原夾名保留，入年夾）,高
2004年天元道院暑期青少年育樂營 Tianyuan Taoist Temple - Summer Youth Class 2004,資料夾,18,0.07,H90.歷年活動（原夾名保留，入年夾）,高
2007-07中庸經典班：溫經理：馬來西亞,資料夾,18,0.5,H90.歷年活動（原夾名保留，入年夾）,高
2007-07中庸經典班：蘇講師：馬來西亞,資料夾,18,0.59,H90.歷年活動（原夾名保留，入年夾）,高
2009-06-13~15金剛三天培訓班,資料夾,18,1.19,H90.歷年活動（原夾名保留，入年夾）,高
2018-12-09峨眉書院年終精進班：講師壇主班,資料夾,17,1.0,H90.歷年活動（原夾名保留，入年夾）,高
2005-09-16~21馬來西亞古晉：大學經典講座：蘇講師,資料夾,16,0.37,H90.歷年活動（原夾名保留，入年夾）,高
2006-09-23~25大學證釋：澳洲,資料夾,16,0.54,H90.歷年活動（原夾名保留，入年夾）,高
2008-03-15~16兩天班,資料夾,16,0.5,H90.歷年活動（原夾名保留，入年夾）,高
2006-02-10靈隱寺,資料夾,14,0.12,H90.歷年活動（原夾名保留，入年夾）,高
2007-06-08(5)加拿大溫尼辟慈化道院一天法會,資料夾,14,3.06,H90.歷年活動（原夾名保留，入年夾）,高
2007大學證釋：蘇講師：天慈國外,資料夾,14,0.68,H90.歷年活動（原夾名保留，入年夾）,高
2008-02-25~27孝經經典班師資培訓,資料夾,12,0.94,H90.歷年活動（原夾名保留，入年夾）,高
2017-01-07(6)~08(0)峨眉書院講師講員人才班,資料夾,12,0.71,H90.歷年活動（原夾名保留，入年夾）,高
2021靈隱寺弘德班,資料夾,12,1.62,H90.歷年活動（原夾名保留，入年夾）,高
2006-02-26一貫真傳：董經理,資料夾,11,0.09,H90.歷年活動（原夾名保留，入年夾）,高
2008-10-18~19孝經培訓,資料夾,11,0.25,H90.歷年活動（原夾名保留，入年夾）,高
2019-01-13峨眉書院年終精進班：清口辦事班,資料夾,11,0.83,H90.歷年活動（原夾名保留，入年夾）,高
2009-09-26(6)經典師資培訓班,資料夾,10,0.36,H90.歷年活動（原夾名保留，入年夾）,高
2010-12-19(0)峨眉書院年終檢討精進班,資料夾,10,0.39,H90.歷年活動（原夾名保留，入年夾）,高
2018-12-30靈隱寺青年一天法會,資料夾,10,0.51,H90.歷年活動（原夾名保留，入年夾）,高
2008-03-17(1)~19(3) 經理電腦班,資料夾,9,3.89,H90.歷年活動（原夾名保留，入年夾）,高
2016-11-05靈隱寺文獻培訓,資料夾,9,0.32,H90.歷年活動（原夾名保留，入年夾）,高
2016-12-17(6)~18(0)峨眉書院講師講員人才班,資料夾,9,0.5,H90.歷年活動（原夾名保留，入年夾）,高
2007-11-24泰國素叻府孔廟：二天年終檢討班,資料夾,8,0.31,H90.歷年活動（原夾名保留，入年夾）,高
2007-12-01泰國慈化壇二天檢討班,資料夾,8,0.39,H90.歷年活動（原夾名保留，入年夾）,高
2009-02-28(6)峨眉書院操辦人才研習班,資料夾,8,0.42,H90.歷年活動（原夾名保留，入年夾）,高
2019-06-30靈隱道場文書團隊代表會議暨文書精進班,資料夾,8,0.44,H90.歷年活動（原夾名保留，入年夾）,高
1987老前人慈悲：新加坡,資料夾,7,0.29,H90.歷年活動（原夾名保留，入年夾）,高
2005-11-21~2006-02-23明聖經：蘇講師,資料夾,7,0.24,H90.歷年活動（原夾名保留，入年夾）,高
2007-12-08北欖府奉恩樓二天年終檢討班錄音檔,資料夾,7,0.34,H90.歷年活動（原夾名保留，入年夾）,高
2007-12-08清萊府普愛壇二天年終檢討班,資料夾,7,0.23,H90.歷年活動（原夾名保留，入年夾）,高
2007孝經,資料夾,7,0.51,H90.歷年活動（原夾名保留，入年夾）,高
2008-07-07~08 靈隱寺華語教學演示 (檔案太大，待處理),資料夾,7,4.52,H90.歷年活動（原夾名保留，入年夾）,高
2008-10-12中庸：聖慈,資料夾,7,0.45,H90.歷年活動（原夾名保留，入年夾）,高
2009-03-29(0)峨眉書院佛規禮節實務班,資料夾,7,0.2,H90.歷年活動（原夾名保留，入年夾）,高
2018-12-16靈隱寺乾坤德班,資料夾,7,0.4,H90.歷年活動（原夾名保留，入年夾）,高
2019-02-09靈隱寺文書研討會,資料夾,7,0.4,H90.歷年活動（原夾名保留，入年夾）,高
2019-05-05湖口李氏一天法會,資料夾,7,0.39,H90.歷年活動（原夾名保留，入年夾）,高
2019-06-01-02印尼慈青幹部台灣朝聖團研習,資料夾,7,0.78,H90.歷年活動（原夾名保留，入年夾）,高
2021-03-25靈隱道場駐寺經理輪值講習,資料夾,7,0.43,H90.歷年活動（原夾名保留，入年夾）,高
2021-04-11峨眉書院固本培德班：講師壇主班,資料夾,7,0.52,H90.歷年活動（原夾名保留，入年夾）,高
2021-05-02湖口李氏一天法會,資料夾,7,0.4,H90.歷年活動（原夾名保留，入年夾）,高
2021-12-05湖口李氏一天法會,資料夾,7,0.3,H90.歷年活動（原夾名保留，入年夾）,高
2024-05-05湖口李氏一天法會,資料夾,7,0.34,H90.歷年活動（原夾名保留，入年夾）,高
2007-06-09~10加拿大溫尼辟兩天辦事人員班,資料夾,6,0.37,H90.歷年活動（原夾名保留，入年夾）,高
2007-06-22~24泰國紅統府仁善佛堂明德新民進修班,資料夾,6,0.31,H90.歷年活動（原夾名保留，入年夾）,高
2007-11-24碧差汶府鳳德壇二天年終檢討班,資料夾,6,0.13,H90.歷年活動（原夾名保留，入年夾）,高
2008-01-12大連一天研究班,資料夾,6,0.23,H90.歷年活動（原夾名保留，入年夾）,高
2009-01-04三天班,資料夾,6,0.12,H90.歷年活動（原夾名保留，入年夾）,高
2009-03-15(0)峨眉書院佛規禮節實務班,資料夾,6,0.35,H90.歷年活動（原夾名保留，入年夾）,高
2009-04-21(2)~23(4)泰國金剛經培訓,資料夾,6,1.05,H90.歷年活動（原夾名保留，入年夾）,高
2009-10-09聖恩週年慶,資料夾,6,0.28,H90.歷年活動（原夾名保留，入年夾）,高
2016-04-24(0)湖口李氏一天法會,資料夾,6,0.19,H90.歷年活動（原夾名保留，入年夾）,高
2016-12-04(0)湖口李氏一天法會,資料夾,6,0.18,H90.歷年活動（原夾名保留，入年夾）,高
2017-01-16峨眉拜節,資料夾,6,0.09,H90.歷年活動（原夾名保留，入年夾）,高
2017-05-21士林孝化一天法會,資料夾,6,0.36,H90.歷年活動（原夾名保留，入年夾）,高
2017-07-30湖口李氏一天複習班,資料夾,6,0.18,H90.歷年活動（原夾名保留，入年夾）,高
2017-11-26慈化文教親子讀經師資成長班,資料夾,6,0.46,H90.歷年活動（原夾名保留，入年夾）,高
