現位置,層級,檔數,GB,建議歸位,信心
聖歌：天韻聖音五：印尼,資料夾,19,0.05,I01.聖歌,高
聖歌：發一天元合唱歌集(三),資料夾,19,0.07,I01.聖歌,高
聖歌：發一靈隱：聖歌集：卷一,資料夾,19,0.06,I01.聖歌,高
聖歌：一盞明燈：台語善歌,資料夾,18,0.04,I01.聖歌,高
聖歌：中華聖母紀念專輯：月光專輯,資料夾,18,0.09,I01.聖歌,高
聖歌：濟世佛曲,資料夾,18,0.11,I01.聖歌,高
聖歌：發一靈隱：忠義植心,資料夾,18,0.06,I01.聖歌,高
聖歌：發一靈隱：靈機普化：靈化菩薩成道二十週年紀念,資料夾,18,0.13,I01.聖歌,高
聖歌：靈濟真君成道十週年紀念,資料夾,18,0.16,I01.聖歌,高
聖歌：仙佛心曲二,資料夾,17,0.07,I01.聖歌,高
聖歌：仙佛心曲：2004國語下,資料夾,17,0.03,I01.聖歌,高
聖歌：儒志願行班聖歌,資料夾,17,0.06,I01.聖歌,高
聖歌：天韻聖音三：印尼,資料夾,17,0.06,I01.聖歌,高
聖歌：小初小高兒童讀經班聖歌,資料夾,17,0.07,I01.聖歌,高
聖歌：發一崇德聖歌,資料夾,17,0.06,I01.聖歌,高
聖歌：發一崇德：光慧精選聖歌,資料夾,17,0.06,I01.聖歌,高
聖歌：發一靈隱：九十六年靈隱南區敬老會CD,資料夾,17,0.06,I01.聖歌,高
聖歌：發一靈隱：母恩永懷：師母成道三十週年紀念,資料夾,17,0.12,I01.聖歌,高
聖歌：發心,資料夾,17,0.06,I01.聖歌,高
聖歌：仙佛心曲,資料夾,16,0.07,I01.聖歌,高
聖歌：仙佛心曲一,資料夾,16,0.06,I01.聖歌,高
聖歌：仙佛心曲三,資料夾,16,0.06,I01.聖歌,高
聖歌：修道人的志節：臺語：光明集刊雜誌社發行,資料夾,16,0.08,I01.聖歌,高
聖歌：天韻聖音一：印尼,資料夾,16,0.05,I01.聖歌,高
聖歌：天韻聖音六,資料夾,16,0.06,I01.聖歌,高
聖歌：發一天元長聖：歸鄉,資料夾,16,0.12,I01.聖歌,高
聖歌：發一天元長聖：葫蘆吟,資料夾,16,0.11,I01.聖歌,高
聖歌：發一靈隱：奉恩頌：奉恩樓落成紀念二,資料夾,16,0.08,I01.聖歌,高
聖歌：緬懷先賢德風道範,資料夾,16,0.8,I01.聖歌,高
聖歌：靈隱道場聖歌：靈隱背景,資料夾,16,0.06,I01.聖歌,高
聖歌：仙佛心曲：2004國語上,資料夾,15,0.03,I01.聖歌,高
聖歌：天下一家世界大同：元薪道場三十五週年慶紀念專輯,資料夾,15,0.09,I01.聖歌,高
聖歌：發一天元長聖：心靈的歸宿,資料夾,15,0.06,I01.聖歌,高
聖歌：發一天元：英文道歌,資料夾,15,0.05,I01.聖歌,高
聖歌：聖歌彙錄,資料夾,15,0.05,I01.聖歌,高
聖歌：聖歌精選一,資料夾,15,0.06,I01.聖歌,高
聖歌：一貫書苑聖歌,資料夾,14,0.13,I01.聖歌,高
聖歌：仙佛心曲：歸鄉系列02：國語一,資料夾,14,0.06,I01.聖歌,高
聖歌：天韻聖音八,資料夾,14,0.05,I01.聖歌,高
聖歌：天韻聖音四：印尼,資料夾,14,0.05,I01.聖歌,高
聖歌：發一天元長聖：尋根,資料夾,14,0.1,I01.聖歌,高
聖歌：發一崇德：不休息菩薩紀念CD,資料夾,14,0.07,I01.聖歌,高
聖歌：一盞明燈：國語善歌三,資料夾,13,0.05,I01.聖歌,高
聖歌：仙佛心曲：聖歌選輯一,資料夾,13,0.08,I01.聖歌,高
聖歌：仙佛心曲：聖歌選輯二,資料夾,13,0.05,I01.聖歌,高
聖歌：仙佛心曲：道歌,資料夾,13,0.05,I01.聖歌,高
聖歌：發一慈濟：德化園：自覺：國,資料夾,13,0.02,I01.聖歌,高
聖歌：緣音粵語道歌,資料夾,13,0.04,I01.聖歌,高
聖歌：仙佛心曲：歸鄉系列04：台語二,資料夾,12,0.05,I01.聖歌,高
聖歌：台語善歌,資料夾,12,0.04,I01.聖歌,高
聖歌：天上調：清靜法音蓮花香,資料夾,12,0.09,I01.聖歌,高
聖歌：家書,資料夾,12,0.12,I01.聖歌,高
聖歌：小天使班專輯,資料夾,12,0.03,I01.聖歌,高
聖歌：弘德之歌,資料夾,12,0.11,I01.聖歌,高
聖歌：發一組：白水老人成道十週年：星光,資料夾,12,0.07,I01.聖歌,高
聖歌：發一靈隱：寄語知音：2019,資料夾,12,0.08,I01.聖歌,高
聖歌：發一靈隱：白水老人成道十週年紀念,資料夾,12,0.07,I01.聖歌,高
聖歌：發一靈隱：靈隱頌：靈隱四十,資料夾,12,0.14,I01.聖歌,高
聖歌：2007年度加拿大法會聖歌彙編,資料夾,11,0.03,I01.聖歌,高
聖歌：一盞明燈：國語善歌二,資料夾,11,0.04,I01.聖歌,高
聖歌：仙佛心曲：歸鄉系列03：國語二,資料夾,11,0.05,I01.聖歌,高
聖歌：天上調：故鄉的仙風,資料夾,11,0.1,I01.聖歌,高
聖歌：發一慈濟：傳承永續,資料夾,11,0.1,I01.聖歌,高
聖歌：發一組：一貫薪傳：白水聖帝六十週年紀念專輯,資料夾,11,0.06,I01.聖歌,高
聖歌：發一靈隱：寄語知音：2018,資料夾,11,0.5,I01.聖歌,高
聖歌：2017新民班聖歌集,資料夾,10,0.06,I01.聖歌,高
聖歌：仙佛心曲：歸鄉系列01：台語一,資料夾,10,0.04,I01.聖歌,高
聖歌：仙佛心曲：歸鄉系列05：國語三,資料夾,10,0.05,I01.聖歌,高
聖歌：仙佛心曲：歸鄉系列06：國語四,資料夾,10,0.07,I01.聖歌,高
聖歌：新加坡常德精進班聖歌,資料夾,10,0.04,I01.聖歌,高
聖歌：發一德化：六度萬行,資料夾,10,0.03,I01.聖歌,高
聖歌：發一慈濟：德化園：隨緣心歡喜：台,資料夾,10,0.04,I01.聖歌,高
聖歌：發一靈隱：天聚禮讚：2018,資料夾,10,0.07,I01.聖歌,高
聖歌：發一靈隱：奉恩頌：奉恩樓落成紀念一,資料夾,10,0.03,I01.聖歌,高
聖歌：發一靈隱：孟子：一點浩然氣：2018,資料夾,10,0.07,I01.聖歌,高
聖歌：發一靈隱：家風遠颺：2016靈隱寺感恩尋根之旅,資料夾,10,0.07,I01.聖歌,高
聖歌：歷史的天空,資料夾,9,0.02,I01.聖歌,高
聖歌：發一同義：大德真君百歲紀念音樂專輯,資料夾,9,0.03,I01.聖歌,高
聖歌：萬家生佛,資料夾,9,0.06,I01.聖歌,高
聖歌：崇仁聖歌,資料夾,8,0.04,I01.聖歌,高
聖歌：發一靈隱：一貫馨香,資料夾,8,0.04,I01.聖歌,高
聖歌：發一靈隱：家風文化道共築：2017,資料夾,8,0.34,I01.聖歌,高
聖歌：善歌選輯,資料夾,7,0.03,I01.聖歌,高
聖歌：天然古佛紀念音樂專輯：日光專輯,資料夾,6,0.02,I01.聖歌,高
聖歌：發一靈隱：清靜法音：蓮花香,資料夾,6,0.07,I01.聖歌,高
聖歌：發一崇德：傳燈,資料夾,5,0.01,I01.聖歌,高
聖歌：發一崇德：把愛串起來,資料夾,5,0.01,I01.聖歌,高
聖歌：發一崇德：萬眾一心,資料夾,5,0.02,I01.聖歌,高
聖歌：發一靈隱：荷擔彌勒家業,資料夾,5,0.08,I01.聖歌,高
聖歌：峨眉仙蹤,資料夾,4,0.03,I01.聖歌,高
聖歌：彌勒家園(一),資料夾,4,0.02,I01.聖歌,高
聖歌：發一靈隱：長青老樹蔭群黎,資料夾,4,0.09,I01.聖歌,高
聖歌：大學中庸歌,資料夾,3,0.01,I01.聖歌,高
聖歌：彌勒家園(二),資料夾,3,0.02,I01.聖歌,高
聖歌：發一靈隱：雲上曲,資料夾,3,0.05,I01.聖歌,高
聖歌：聖脈儒風,資料夾,3,0.01,I01.聖歌,高
(根目錄) 金剛練性功.wma,散檔,1,0.025,I01.聖歌（散檔待歸）,中
(根目錄) 法會錄音_濟公活佛慈訓_調寄：相思十誡_語寄：訓子十誡.mp3,散檔,1,0.007,I01.聖歌（散檔待歸）,中
(根目錄) 濟公活佛慈訓_調寄：相思十誡_語寄：訓子十誡.mp3,散檔,1,0.006,I01.聖歌（散檔待歸）,中
(根目錄) 歷史的驕傲.wma,散檔,1,0.009,I01.聖歌（散檔待歸）,中
(根目錄) 風光明媚-如意仙童版.mp3,散檔,1,0.001,I01.聖歌（散檔待歸）,中
(根目錄) 幸福快樂到永遠-恩師帶唱.mp3,散檔,1,0.003,I01.聖歌（散檔待歸）,中
(根目錄) 與草原有個約定：老師.mp3,散檔,1,0.002,I01.聖歌（散檔待歸）,中
(根目錄) 峨眉仙蹤.mp3,散檔,1,0.006,I01.聖歌（散檔待歸）,中
輕音樂：音效,資料夾,155,0.26,I02.輕音樂,高
輕音樂：純音樂,資料夾,67,0.15,I02.輕音樂,高
輕音樂：咖啡屋西洋古典音樂精選 Coffee House Classics,資料夾,54,0.26,I02.輕音樂,高
輕音樂：古琴全集,資料夾,53,0.51,I02.輕音樂,高
輕音樂：台灣森林自然聲音圖鑑,資料夾,35,0.03,I02.輕音樂,高
輕音樂：頒獎音樂,資料夾,25,0.07,I02.輕音樂,高
輕音樂：鋼琴：流行戀曲鋼琴集,資料夾,22,0.06,I02.輕音樂,高
輕音樂：名揚四海,資料夾,21,0.06,I02.輕音樂,高
輕音樂：鋼琴：張國榮鋼琴精選,資料夾,20,0.06,I02.輕音樂,高
輕音樂：世界最美的鋼琴曲 Piano by Candlelight-The World's Most Beautiful Music for the Piano,資料夾,19,0.07,I02.輕音樂,高
輕音樂：芝加哥表演藝術學院樂團日本演出 Chicago College of Performing Arts Chamber Orchestra-Live from Japan,資料夾,19,0.07,I02.輕音樂,高
輕音樂：小提琴及吉他演奏中國曲調 Chinese Melodies for Violin & Guitar,資料夾,18,0.04,I02.輕音樂,高
輕音樂：水晶音樂,資料夾,18,0.06,I02.輕音樂,高
輕音樂：鋼琴2000戀曲,資料夾,18,0.06,I02.輕音樂,高
輕音樂：音樂劇中的最優美曲調 The Best Melodies from Musicals,資料夾,18,0.06,I02.輕音樂,高
輕音樂：雙鋼琴,資料夾,17,0.05,I02.輕音樂,高
輕音樂：MUJI BGM 4,資料夾,16,0.11,I02.輕音樂,高
輕音樂：MUJI BGM 6,資料夾,16,0.1,I02.輕音樂,高
輕音樂：MUJI BGM 5,資料夾,15,0.12,I02.輕音樂,高
輕音樂：MUJI BGM 7,資料夾,15,0.12,I02.輕音樂,高
輕音樂：MUJI BGM 8,資料夾,15,0.11,I02.輕音樂,高
輕音樂：拜年歌曲,資料夾,15,0.05,I02.輕音樂,高
輕音樂：葫蘆絲專輯：月光下的鳳尾竹,資料夾,15,0.05,I02.輕音樂,高
輕音樂：MUJI BGM 10 - Modern Tango Music,資料夾,14,0.11,I02.輕音樂,高
輕音樂：MUJI BGM 15,資料夾,14,0.09,I02.輕音樂,高
輕音樂：MUJI BGM 3,資料夾,14,0.1,I02.輕音樂,高
輕音樂：One Day in Spring,資料夾,14,0.05,I02.輕音樂,高
輕音樂：Silence with Sound from Nature,資料夾,14,0.05,I02.輕音樂,高
輕音樂：Spring  Chant-14 Songs For First Love,資料夾,14,0.05,I02.輕音樂,高
輕音樂：Summer Rhythm-14 Songs for Passion 香伴四季 夏之傾情歌,資料夾,14,0.06,I02.輕音樂,高
輕音樂：Wonderland,資料夾,14,0.05,I02.輕音樂,高
"輕音樂：柴可夫斯基 Peter Lyich Tchaikovsky-The Seasons, Op.37a",資料夾,14,0.04,I02.輕音樂,高
輕音樂：MUJI BGM 11,資料夾,13,0.1,I02.輕音樂,高
輕音樂：MUJI BGM 12,資料夾,13,0.08,I02.輕音樂,高
輕音樂：MUJI BGM 2,資料夾,13,0.09,I02.輕音樂,高
輕音樂：MUJI BGM 9,資料夾,13,0.1,I02.輕音樂,高
輕音樂：Winter Melody 香伴四季 冬之離別賦,資料夾,13,0.05,I02.輕音樂,高
輕音樂：抒情音樂精選 The Best of Quiet Moods,資料夾,13,0.06,I02.輕音樂,高
輕音樂：2013孝親活動,資料夾,12,0.05,I02.輕音樂,高
輕音樂：CHAGE & ASKA,資料夾,12,0.05,I02.輕音樂,高
輕音樂：MUJI BGM 14,資料夾,12,0.1,I02.輕音樂,高
輕音樂：MUJI BGM 1980-2000 (disc b),資料夾,12,0.09,I02.輕音樂,高
輕音樂：MUJI BGM 13 - Traditional Music from Brazil,資料夾,11,0.08,I02.輕音樂,高
輕音樂：MUJI BGM 1980-2000 (disc a),資料夾,10,0.12,I02.輕音樂,高
輕音樂：MUJI BGM 1980-2000 (disc c),資料夾,10,0.09,I02.輕音樂,高
輕音樂：弦在燒：二(陳潔冰),資料夾,10,0.05,I02.輕音樂,高
輕音樂：森林狂想曲 The Forest Show,資料夾,10,0.05,I02.輕音樂,高
輕音樂：喜慶音樂,資料夾,9,0.05,I02.輕音樂,高
輕音樂：夜來香 Masterpieces of Chinese Songs of the 30's,資料夾,9,0.04,I02.輕音樂,高
輕音樂：小河淌水 Masterpieces of Chinese Folksongs,資料夾,9,0.04,I02.輕音樂,高
輕音樂：廣陵絕響 Chinese Guqin Solo by Gong Yi,資料夾,9,0.05,I02.輕音樂,高
"輕音樂：莫扎特 Mozart (Symphony No. 40 in G Minor, Jupiter Symphony)",資料夾,8,0.04,I02.輕音樂,高
輕音樂：莫扎特 Symphonies No. 41 & 40,資料夾,8,0.05,I02.輕音樂,高
輕音樂：漁舟唱晚 Masterpieces of Chinese Traditional Music,資料夾,7,0.06,I02.輕音樂,高
輕音樂：MUJI bgm x,資料夾,6,0.01,I02.輕音樂,高
輕音樂：舒伯特 Schubert- Symphonies “Unfinished” & “Great C Major”,資料夾,6,0.07,I02.輕音樂,高
輕音樂,資料夾,5,0.05,I02.輕音樂,高
輕音樂：英雄,資料夾,5,0.01,I02.輕音樂,高
"輕音樂：貝多芬 Beethoven (Egmont Overture, Violin Concerto, Romance No. 2)",資料夾,5,0.05,I02.輕音樂,高
"輕音樂：貝多芬 Beethoven- Violin Concerto, Egmont Overture, Violin Romance No. 2",資料夾,5,0.06,I02.輕音樂,高
輕音樂：DANCE EMPIRE,資料夾,2,0.01,I02.輕音樂,高
禮儀：大哉孝乎一,資料夾,15,0.07,I03.禮儀,高
禮儀：發一靈隱：彌勒真經專輯,資料夾,12,0.11,I03.禮儀,高
禮儀：大哉孝乎二,資料夾,11,0.04,I03.禮儀,高
禮儀：永懷前人：文慈菩薩,資料夾,11,0.04,I03.禮儀,高
禮儀：發一靈隱：誦經合輯（一）,資料夾,10,0.83,I03.禮儀,高
禮儀：桃園明聖經讀誦CD：國語,資料夾,9,0.04,I03.禮儀,高
禮儀：永懷道長,資料夾,5,0.02,I03.禮儀,高
禮儀：靈隱頌,資料夾,5,0.02,I03.禮儀,高
禮儀：憶前人：靈化菩薩,資料夾,2,0.01,I03.禮儀,高
音效：YouTuber愛用音效,資料夾,32,0.01,I04.音效,高
