md5,處置,itemId,檔名,MB,保留正本
787b9e24726e1f4a59deeaacaa5bd351,刪(進垃圾桶),1vMa72b3lTdpNfUS0xEiCP_ZDWOkzoYF6,研究班06 曲目 6.mp3,7.3,研究班06 曲目 6.mp3
1d471e966a84ebde45594e6e7ccd83a5,刪(進垃圾桶),1HR2yr5BA6azXyB0J-Xo1aBHcpwffECHk,06 求道曲目 6.mp3,10.1,求道曲目 6.mp3
1d471e966a84ebde45594e6e7ccd83a5,刪(進垃圾桶),1LCnhWgivTmXWLeifbr3DIoCbkL3RJ2H9,06 求道曲目 6.mp3,10.1,求道曲目 6.mp3
2b28a6aa5daa1550391fd82b4e09f77e,刪(進垃圾桶),1Q1BkrDfpxcPLjQFgKkg8CLB2ZPej2QtN,佛堂06 曲目 6.mp3,5.5,佛堂06 曲目 6.mp3
30331c58ff8cacac8b327bfa4e097b52,刪(進垃圾桶),1e-W4BUxlUg9jwTb8HEcyfarDx0MIpG1b,佛堂04 曲目 4.mp3,7.8,佛堂04 曲目 4.mp3
cc106479ca8736d704ed5884e2ac233b,刪(進垃圾桶),1g0jkkWBMWD2iIlsmc5OVts66L2rGyscW,佛堂02 曲目 2.mp3,16.8,佛堂02 曲目 2.mp3
5348f1d09475c313504eefb208bc55e1,刪(進垃圾桶),1CAQbhicYWzpxmU8QRnN3Mto_dDMyCOYb,佛堂01 曲目 1.mp3,11.6,佛堂01 曲目 1.mp3
d61aa20da68c38bc3567a1163030395d,刪(進垃圾桶),1TQ2jjQ-5-0bZx8vs2DpaWcqXndVwl-NE,佛堂03 曲目 3.mp3,11.3,佛堂03 曲目 3.mp3
a358b58312ff9652f8e666b06f94b2a1,刪(進垃圾桶),1FAyJcECGD0VHKO4IY6eOpHZtr_1c4Ozv,佛堂05 曲目 5.mp3,9.4,佛堂05 曲目 5.mp3
67f973fd411da57bb620e88199f12104,刪(進垃圾桶),116rQyR67WFkylc3MSyJ_hjof_6ZzjIRy,05 求道曲目 5.mp3,9.0,求道曲目 5.mp3
67f973fd411da57bb620e88199f12104,刪(進垃圾桶),1KShWVYTCswYR4Ss-aeMTY_rRfE2vO3c8,05 求道曲目 5.mp3,9.0,求道曲目 5.mp3
be2763a96860a3086234d8ced5af092a,刪(進垃圾桶),14Gok9jlkD4p7yw5T-cchKgI0ASISnAlO,04 求道曲目 4.mp3,15.9,求道曲目 4.mp3
be2763a96860a3086234d8ced5af092a,刪(進垃圾桶),1qopAbErY20rNO5ipb1ON6-C1HNXYlMAg,04 求道曲目 4.mp3,15.9,求道曲目 4.mp3
e9fe4f7155366722dc8961e777d83baf,刪(進垃圾桶),1mV7gcIsU3_JkRjpKM4InZHHtjVQtMgh2,03 求道曲目 3.mp3,11.4,求道曲目 3.mp3
e9fe4f7155366722dc8961e777d83baf,刪(進垃圾桶),1s2yz2feR66W6nAT3IbSPM6HkapR9ryQA,03 求道曲目 3.mp3,11.4,求道曲目 3.mp3
dc1813ecbd28b643184beda93342a271,刪(進垃圾桶),1XWM1KYadFFso4n-CxpS_7_-8r2IGrsgb,02求道 曲目 2.mp3,13.1,求道曲目 2.mp3
dc1813ecbd28b643184beda93342a271,刪(進垃圾桶),1oZ9o3awVyrpGXMOhacvQ0n8BB6qBpBUQ,02求道 曲目 2.mp3,13.1,求道曲目 2.mp3
728516b581682708ffeeaa3395614816,刪(進垃圾桶),1KCKJKH-ee5wsprK31LFbXfFEQGNaxiNm,01 求道曲目 1.mp3,9.1,求道曲目 1.mp3
728516b581682708ffeeaa3395614816,刪(進垃圾桶),1Pu_47jvkD4DTDG8Z9_mqV-0iJepxzpYB,01 求道曲目 1.mp3,9.1,求道曲目 1.mp3
f7cdc4eb8f9ad5ed6564dd7549fbe5ee,刪(進垃圾桶),1vAaq1mi6Gyi1ieKUhhcVbVt-gP2SQvyy,研究班05 曲目 5.mp3,6.7,研究班05 曲目 5.mp3
749c9b22e86a1aa85dc348ef89895a93,刪(進垃圾桶),1efJD18JKmnlNnSi_kzsxh0Hjjbq9oeha,研究班04 曲目 4.mp3,14.3,研究班04 曲目 4.mp3
9b694007f203c6d143ff26cda480b8c6,刪(進垃圾桶),13M0ia_vKZD0F9d-rNxlQt6QxPECFcNO5,研究班03 曲目 3.mp3,5.2,研究班03 曲目 3.mp3
e63d16a9edd9140d2f71487f6ade8424,刪(進垃圾桶),1VA02bfaDU4wbECc2WcISAH0XyDioOnQS,研究班02 曲目 2.mp3,7.3,研究班02 曲目 2.mp3
2fd9cda2c68a916c63ab982ac5437101,刪(進垃圾桶),1BAjPSBlDRVkoJ-QgAxoE4-Wmr3YPpWSz,研究班01 曲目 1.mp3,6.7,研究班01 曲目 1.mp3
a667c6c65fad250908f25cd234d2edb1,刪(進垃圾桶),1kUOHm9I-aVV9eGe1mN792HAFz0jxLxTX,法會06 曲目 6.mp3,6.7,法會06 曲目 6.mp3
70036276592041b73b8ec22c0a304cad,刪(進垃圾桶),1i44PjUhzEnWuphP8X7GZQ3cBEmudVYpw,法會05 曲目 5.mp3,8.2,法會05 曲目 5.mp3
39684b9bf4c62eb6ac005494eb525842,刪(進垃圾桶),1h6jDZinW_49ElCSQ_sobq-F2NLBVHWpY,法會04 曲目 4.mp3,14.0,法會04 曲目 4.mp3
1d9df9bcfab48ea9a885d586698de7ed,刪(進垃圾桶),1yn_ixnYxrJs7I0-swn7VGO_lWExhPFuj,法會03 曲目 3.mp3,9.6,法會03 曲目 3.mp3
04b93865630eac44b3d12477b13773c7,刪(進垃圾桶),1CgNfyTBO_MwVKrRtud37W5J7kbOKfpOk,法會02 曲目 2.mp3,10.2,法會02 曲目 2.mp3
55b0cd29df025065d1665af23d35a4df,刪(進垃圾桶),1mVprWbYtpmfHrkIY7uCIygiHc4Xqwz0s,法會01 曲目 1.mp3,8.4,法會01 曲目 1.mp3
1c3c53e9cc80ff1aab17131ea88b0a5b,刪(進垃圾桶),1pWDMJVsp6pu-Pp3RKpKtOccc8G7z__Dh,20140206 情緒管理 李經理 正和書院 01 29 30 正和龍象班.mp3,81.9,20140206 情緒管理 李經理 正和書院 01 29 30 正和龍象班.mp3
a638921bb59953b6686bf6f49d8cb449,刪(進垃圾桶),1aINPSNp2PCM1G5nbZsCR071RozOEE4yO,（A-全長版）2014 04 15 【從火星到天堂】【留美博士】美國太空火星計劃首席工程師 彭家彥 點傳師 慈悲主講 從科學家的角度感悟，印証：道真、理真、天命真。.mp3,155.9,（A-全長版）2014 04 15 【從火星到天堂】【留美博士】美國太空火星計劃首席工程師 彭家彥 點傳師 慈悲主講 從科學家的角度感悟，印証：道真、理真、天命真。.mp3
ae16d0dc09d0af3fe1f4e65bccf7211a,刪(進垃圾桶),1C5jtzPIhIwGj5hChYX-zwacLigKlmrFj,20140104 02人生無常積極修辦 李經理 正和書院 01 10 43 正和人才進階班.mp3,64.7,20140104 02人生無常積極修辦 李經理 正和書院 01 10 43 正和人才進階班.mp3
8d2687c42b88ba709d5db4874bd9836b,刪(進垃圾桶),1PfNnO5gsTyZk1L-gffdSkPC2rIRzsqrj,20131118 積極參辦盡心了愿 范聖杰 正和書院 01 29 36 大屯區小組長培訓(前45秒無聲).mp3,82.0,20131118 積極參辦盡心了愿 范聖杰 正和書院 01 29 36 大屯區小組長培訓(前45秒無聲).mp3
4f98750a2644dbda25d3efb74db2867a,刪(進垃圾桶),1IJ9a66loUz3BGz0B2wKEFFuvsROIX2ap,20130617 修道人的志節 (尼泊爾行腳分享) 黃經理 正和書院 01 18 05 正和壇辦班.mp3,72.0,20130617 修道人的志節 (尼泊爾行腳分享) 黃經理 正和書院 01 18 05 正和壇辦班.mp3
4f98750a2644dbda25d3efb74db2867a,刪(進垃圾桶),1ZUBbP5hk3cXUHvCeiyNWe6Rj3NJn-93a,20130617 修道人的志節 (尼泊爾行腳分享) 黃經理 正和書院 01 18 05 正和壇辦班.mp3,72.0,20130617 修道人的志節 (尼泊爾行腳分享) 黃經理 正和書院 01 18 05 正和壇辦班.mp3
8f91b742f1dd9509c0be48a5cc52155b,刪(進垃圾桶),1_i1ZzL5bKfI4YDHhWkVQLhSOsdQRWNXb,20140104 05 天命的殊勝與見證 曾州榮 正和書院 01 08 00 正和人才進階班.mp3,62.3,20140104 05 天命的殊勝與見證 曾州榮 正和書院 01 08 00 正和人才進階班.mp3
010642c1ec7a370749f494c2f365a4da,刪(進垃圾桶),11zBLuz6wHHu1F_4wMvj_GR66t_BD-RM4,20140105 01家人的成全引渡、成全、吃素 張瑞庭 正和書院 01 12 27 正和人才進階班.mp3,66.3,20140105 01家人的成全引渡、成全、吃素 張瑞庭 正和書院 01 12 27 正和人才進階班.mp3
f6ba296529ac27f9ff58f754c066bb64,刪(進垃圾桶),1KAHRbpeMXSNuvHBThIInVawdjPj964Tb,道真、理真、天命真~黃將軍的見證天倫道場直播1230.mp3,135.5,道真、理真、天命真~黃將軍的見證天倫道場直播1230.mp3
4d32a6d7bf9e0060da8301a3e9ec036a,刪(進垃圾桶),1Ro8ORDWRTf6NHju6oa-UtGNn-BkzVBO5,20140105 02清口與設壇的殊勝 陳文忠 正和書院 01 02 33 正和人才進階班.mp3,57.3,20140105 02清口與設壇的殊勝 陳文忠 正和書院 01 02 33 正和人才進階班.mp3
a98462182b442c141654614e41dbc669,刪(進垃圾桶),1o2H4vKG20BmgdoHEjFedSC1fYn5U_QUn,珍惜因緣．精進修辦~馬家駒點傳師慈悲.mp3,81.7,珍惜因緣．精進修辦~馬家駒點傳師慈悲.mp3
169864bc6a487e8cd8774d9bfdc8aab5,刪(進垃圾桶),12inbGdwpoIcg1e4lElFz4jF7IhCIWMqa,20130521成全道親面面觀_葉德明_正和書院_01-20-12_大屯區小組長培訓.mp3,128.5,20130521成全道親面面觀_葉德明_正和書院_01-20-12_大屯區小組長培訓.mp3
defadfb02201cbe6dc5ffed054598dca,刪(進垃圾桶),1Dfe8hZiustRkTfPriHGoYnOP3GGCi_cL,20130707 安貧樂道的修道人 黃經理 正和書院 01 07 20 正和一日精進班.mp3,107.9,20130707 安貧樂道的修道人 黃經理 正和書院 01 07 20 正和一日精進班.mp3
07866d88d806f109957bd23ff8e47433,刪(進垃圾桶),1W2CaoS6xtPdBwbVrmW_8DJcyU7y_7FX-,20130707 如何發心辦道 馬經理 正和書院 01 01 27 正和一日精進班.mp3,98.5,20130707 如何發心辦道 馬經理 正和書院 01 01 27 正和一日精進班.mp3
d6b25adb9f3d96588b3b294b5526fa91,刪(進垃圾桶),1pp-vGTVuM4tFNBveZJyHKjzVIs9EHoqQ,理天靈遊_林蒼庫.wmv.mp3,102.9,理天靈遊_林蒼庫.wmv.mp3
47b83a5a3487528388c627852dbcb54a,刪(進垃圾桶),15DSoidhUGi6bhfJeNfE5Yg_ewf6xXrpY,"20130304_性理釋疑(54,82-85)_趙志雄_正和書院_00-43-40_東馬課程用.mp3",40.0,"20130304_性理釋疑(54,82-85)_趙志雄_正和書院_00-43-40_東馬課程用.mp3"
953e72bfb0b199a82e60d4cb05726c15,刪(進垃圾桶),1CAdLs37vI72Ej_R_dOIXotARiIdMg5hK,20130304_性理釋疑三_黃居洋_正和書院_00-34-01_東馬課程用.mp3,31.2,20130304_性理釋疑三_黃居洋_正和書院_00-34-01_東馬課程用.mp3
953e72bfb0b199a82e60d4cb05726c15,刪(進垃圾桶),1lXwDXV0mk5WabQA7ULbZ6HphA-wK6Tu6,20130304_性理釋疑三_黃居洋_正和書院_00-34-01_東馬課程用 (1).mp3,31.2,20130304_性理釋疑三_黃居洋_正和書院_00-34-01_東馬課程用.mp3
e81e0dcc2bfe826689c157bccd1d7043,刪(進垃圾桶),172KV00-SWiL7dxclEDHhFDQqoZs1UB4x,走_咱們家訪去_郭美珍講師.mp3,85.0,走_咱們家訪去_郭美珍講師.mp3
1a83822acc985510156a61a7ba75d128,刪(進垃圾桶),14pdC_7QpvjSlPFKbKRIY7_ls4cYJHM_r,20110318 如何啟發孩子的潛能 施枝芳 正和書院 01 43 03 讀經教育的原理及成果分享.mp3,94.3,20110318 如何啟發孩子的潛能 施枝芳 正和書院 01 43 03 讀經教育的原理及成果分享.mp3
d3a2b295f4df5b176e664530573c6601,刪(進垃圾桶),1ZPnJe6LbwhXbf3u4drQ_h6iw1NzrvSm7,20121110 白陽修士的每日修行功課 曾經理 正和書院 00 51 38 正和人才進階班.mp3,47.3,20121110 白陽修士的每日修行功課 曾經理 正和書院 00 51 38 正和人才進階班.mp3
79fd19a66210b2a646dee31df1ac2bc3,刪(進垃圾桶),12bmtrJRavDtfjwXqH_OFlxKKNFB3Ag8f,20121230 孝弟家庭齊家典範  改變自己感動他人 黃經理 正和書院 01 21 10 正和書院人才精進班.mp3,74.3,20121230 孝弟家庭齊家典範  改變自己感動他人 黃經理 正和書院 01 21 10 正和書院人才精進班.mp3
2a81f87ba4f91e5fad39ad4b3f942b6f,刪(進垃圾桶),1Nu4fO-p074sII-iBe99_8HajMJ4zmubz,20121230 無限生命 聖凡如意的要訣積集資糧 黃正坤 正和書院 01 16 22 正和書院人才精進班.mp3,69.9,20121230 無限生命 聖凡如意的要訣積集資糧 黃正坤 正和書院 01 16 22 正和書院人才精進班.mp3
1216567ad3bf14ec84fc863bed0d5254,刪(進垃圾桶),12jVvn_-kWWJtBF46pGh_V-JxYYfx2332,20120603 愿力與使命02 將軍的體悟 黃榮河 天佑大樓.mp3,76.6,20120603 愿力與使命02 將軍的體悟 黃榮河 天佑大樓.mp3
257526fb165bee067ffcb7b079a60d91,刪(進垃圾桶),1zUw0nA7YQiQ1kcUKxeAwSZJJZ2pmXzKO,20120603 愿力與使命01 將軍的體悟 黃榮河 天佑大樓.mp3,63.9,20120603 愿力與使命01 將軍的體悟 黃榮河 天佑大樓.mp3
fdab986ceb5dd9216f3f67a468123877,刪(進垃圾桶),1JgjeCxTsgCBYN6g3RLVpNMefMSBCHQhX,20101113 如何超越業力與輪迴的羈絆 張再興 天元佛院 01 04 17 正和精進班.mp3,88.3,20101113 如何超越業力與輪迴的羈絆 張再興 天元佛院 01 04 17 正和精進班.mp3
2ec37676cb58a4a107aa97c2220f9dfc,刪(進垃圾桶),1xWq9ujDiSd7RdMtWJ-qtlTVq7l34qJww,20111219 02消冤孽第七補充 張再興 正和書院 00 09 22 正和壇辦班.mp3,12.9,20111219 02消冤孽第七補充 張再興 正和書院 00 09 22 正和壇辦班.mp3
a7d31332fe66ca529b0b4dbb01149f29,刪(進垃圾桶),1251tDcHWOujSHczMQzBAWmREpWXThyDq,20111218 布施的感應故事分享06 黃秀錦 正和書院 00 05 31 正和精進班二.mp3,7.1,20111218 布施的感應故事分享06 黃秀錦 正和書院 00 05 31 正和精進班二.mp3
46f3058f522e5376ea3d55308d221dc4,刪(進垃圾桶),1xj8RXyENEuX7msiInT7m1J2kiWab7wX6,20111218 布施的感應故事分享05 蔡邁 正和書院 00 02 27 正和精進班二.mp3,3.4,20111218 布施的感應故事分享05 蔡邁 正和書院 00 02 27 正和精進班二.mp3
02171b6d95a9127df91a32ca318c024a,刪(進垃圾桶),1L9uq3z65VoqTohUcRXwHhHetYMTjuPqu,20111218 布施的感應故事分享02 黃雅如 正和書院 00 06 19 正和精進班二.mp3,8.7,20111218 布施的感應故事分享02 黃雅如 正和書院 00 06 19 正和精進班二.mp3
427e075ac03619ae30c3d4001cd3f903,刪(進垃圾桶),1QcSks_AVLotQWO6oYeofG1s65Tyedh4v,20111218 布施的感應故事分享01 廖瑞民 正和書院 00 08 23 正和精進班二.mp3,11.5,20111218 布施的感應故事分享01 廖瑞民 正和書院 00 08 23 正和精進班二.mp3
0055198a1f42c26c285e5329df6a0d3c,刪(進垃圾桶),1jF55RTN00ebGXO4d7uI7sgHHQqL81lEh,20111218 布施的感應故事分享03 陳寶猜 正和書院 00 05 45 正和精進班二.mp3,7.9,20111218 布施的感應故事分享03 陳寶猜 正和書院 00 05 45 正和精進班二.mp3
0d6b5e595374843e5794f726bd43806f,刪(進垃圾桶),1eVhiCb8T3tp9usbljr6tF-ElUclBGMKT,20120220 出世必要  立外功第十三 張再興 正和書院 00 34 27 正和壇辦班.mp3,47.3,20120220 出世必要  立外功第十三 張再興 正和書院 00 34 27 正和壇辦班.mp3
cedec60bd52171d722d5208c508c2bf3,刪(進垃圾桶),1lgvidv5Z6i7OAIBQT50eCppBkO0nmCTk,20111218 布施的感應故事分享04 黃金葉 正和書院 00 08 20 正和精進班二.mp3,11.0,20111218 布施的感應故事分享04 黃金葉 正和書院 00 08 20 正和精進班二.mp3
0f9ba4597e2d876bafe4f552324b1626,刪(進垃圾桶),1zikjy2DVtLu61aYDFb-H4YW1gueZCeyE,20120102 出世必要  改脾氣第八 李傳相 正和書院 00 27 31 正和壇辦班.mp3,37.8,20120102 出世必要  改脾氣第八 李傳相 正和書院 00 27 31 正和壇辦班.mp3
0f9ba4597e2d876bafe4f552324b1626,刪(進垃圾桶),1-dmsXTHcIv0_GPFUdmGMFDENLqzuMRcT,20120102 出世必要 改脾氣第八 李傳相 正和書院 00 27 31 正和壇辦班_(720p).mp3,37.8,20120102 出世必要  改脾氣第八 李傳相 正和書院 00 27 31 正和壇辦班.mp3
0f9ba4597e2d876bafe4f552324b1626,刪(進垃圾桶),1ivFWbq49EiWXo8QpRm1NlndvY3ZDScxJ,20120102 出世必要 改脾氣第八 李傳相 正和書院 00 27 31 正和壇辦班_(720p).mp3,37.8,20120102 出世必要  改脾氣第八 李傳相 正和書院 00 27 31 正和壇辦班.mp3
b4a01b5ed2123ac95a4d3532b920ca0b,刪(進垃圾桶),1dRZLV-WJnG6Tr753AJTVEWiF6XTrZSHq,20120102 出世必要  改脾氣第八補充 張再興 正和書院 00 02 19 正和壇辦班.mp3,3.2,20120102 出世必要  改脾氣第八補充 張再興 正和書院 00 02 19 正和壇辦班.mp3
326c5773a249d77448d76e209c855d14,刪(進垃圾桶),12vMx5k-xXwF0RhKiVz6q7RqvwfzYwT57,一貫道 青少年三寶修持養成與潛能開發7-6.黃泰豪講師.mp3,9.6,一貫道 青少年三寶修持養成與潛能開發7-6.黃泰豪講師.mp3
364e95fbddca71d05828fa36d8009932,刪(進垃圾桶),16nEIMWB1WuFKM5lhs0HwJC7_Rms9a5SR,一貫道 青少年三寶修持養成與潛能開發7-5.黃泰豪講師.mp3,8.9,一貫道 青少年三寶修持養成與潛能開發7-5.黃泰豪講師.mp3
030ff0f29ef76e61c0d495aadf6d296e,刪(進垃圾桶),1rogqXRoIouvCZoSqo9jJNCJL5bDhQg8R,一貫道 青少年三寶修持養成與潛能開發7-1.黃泰豪講師.mp3,8.2,一貫道 青少年三寶修持養成與潛能開發7-1.黃泰豪講師.mp3
78a272d1144190c80610039ec7a85ad6,刪(進垃圾桶),1a1Us1LmsqDwQzIJw7YLHod05qVNbTDAe,一貫道 青少年三寶修持養成與潛能開發7-4.黃泰豪講師.mp3,9.2,一貫道 青少年三寶修持養成與潛能開發7-4.黃泰豪講師.mp3
f316924d6f5f192683f9bd677f1fc3a5,刪(進垃圾桶),1zDfUX9rchO75KHceIR6AcFru4N3GKO-D,一貫道 青少年三寶修持養成與潛能開發7-7.黃泰豪講師.mp3,7.7,一貫道 青少年三寶修持養成與潛能開發7-7.黃泰豪講師.mp3
71a1a7ea8d027daf09829079aec0141d,刪(進垃圾桶),1d2iBjijsWu0Kf776S_pkwuZqBswR1dvf,一貫道 青少年三寶修持養成與潛能開發7-2.黃泰豪講師.mp3,9.5,一貫道 青少年三寶修持養成與潛能開發7-2.黃泰豪講師.mp3
95de5924b00f7f02549a1e45858ba3bf,刪(進垃圾桶),1-fZS_xcyjWvq1nfSL-3bRUFQxm_GE9Xu,一貫道 青少年三寶修持養成與潛能開發7-3.黃泰豪講師.mp3,9.4,一貫道 青少年三寶修持養成與潛能開發7-3.黃泰豪講師.mp3
8abcc3af6bbb188197bff4a370b2243f,刪(進垃圾桶),1sp65GgSlofD_Loq3NMCXQ0CQgp143eNy,20110704 親眼所見 求道的殊勝 林敬道 東馬行德佛堂 00 52 14 求道法會研究班的靈界實況_(720p).mp3,71.8,20110704 親眼所見 求道的殊勝 林敬道 東馬行德佛堂 00 52 14 求道法會研究班的靈界實況_(720p).mp3
69e459163b2669501413eaaf997c0fb1,刪(進垃圾桶),1OE_7RIEz7JAhh0mNDQPEPSnvG5Lqlm8Z,025戒酒--济公活佛说五戒merge.mp3,43.5,025戒酒--济公活佛说五戒merge.mp3
50bc78d0186813b436499b6d561e2034,刪(進垃圾桶),112EEPxqo9CWoZtSuRvuO9JhbP5pyrnDf,024戒妄语--济公活佛说五戒merge.mp3,42.4,024戒妄语--济公活佛说五戒merge.mp3
d9fa432867add0ab45c90817db14f726,刪(進垃圾桶),1PPY9N7SKtMZViLhKrjpRM_VV0Z9-RbIc,023戒淫--济公活佛说五戒merge.mp3,61.8,023戒淫--济公活佛说五戒merge.mp3
4090219db7e0b96ea9c46592ebbe973f,刪(進垃圾桶),1ZlAEuYFPe-H1rtJVr5AmcnlhKNul0r21,022戒盗--济公活佛说五戒merge.mp3,50.6,022戒盗--济公活佛说五戒merge.mp3
23f25ffe9020ec487dc34e75e07527d7,刪(進垃圾桶),1l0XlZSK-78V_VR33vEfgeETg7j6vDVYk,021戒杀--济公活佛说五戒merge.mp3,54.1,021戒杀--济公活佛说五戒merge.mp3
29e77b7e4898eca2b8db372b21c72759,刪(進垃圾桶),1KJAP83a6klKK1N6e3oLbR2PkE0IQsGMc,019来自理天的消息--徐祯美讲师-光慧出版merge.mp3,73.0,019来自理天的消息--徐祯美讲师-光慧出版merge.mp3
fa5910410310e13bff94b477b2245b80,刪(進垃圾桶),1D9267EjlyNd3Hlex9ARmf4sFXPyo5TE1,013生活的智慧-你的主人当家了吗-老师的话2-3merge.mp3,38.0,013生活的智慧-你的主人当家了吗-老师的话2-3merge.mp3
aaeabddbef2798a148c30e0ea7ae6ba3,刪(進垃圾桶),1QjRd1Of9Tu9Zs5peO7vXwZLyp6eS4Uqa,011本来面目`心念造因果-上帝在我里面--老师的话2-2merge.mp3,36.8,011本来面目`心念造因果-上帝在我里面--老师的话2-2merge.mp3
9d820cdb5ce92490d9f5c3bab96411b2,刪(進垃圾桶),1TQOWClAog7Swr2LEm3QmeMspSzzswoSw,010百善孝为先·回天的阶梯--老师的话13-3merge.mp3,35.7,010百善孝为先·回天的阶梯--老师的话13-3merge.mp3
1943af7b962fce3005b4774b2f861ad0,刪(進垃圾桶),1aAD49SLlhEkj6s3nPRdn1uOJEP2dznJD,幸福之道--老师的话5-3merge.mp3,40.4,幸福之道--老师的话5-3merge.mp3
a5dbd4b6f5d552d0ea3b6e8509956820,刪(進垃圾桶),1cEXLElTO-znSPJsH1QwsoGTwg0FnQTUg,由无常走向安乐-性心身-老师的话5-1merge.mp3,39.4,无常走向安乐-性心身-老师的话5-1merge.mp3
f683a77162a326e01c9329aec3b758e0,刪(進垃圾桶),1ROZqo5aI7weoC8vCXtPY0E0MsOk9FZe6,17.三教一理.mp3,4.8,17.三教一理.mp3
36d9d7eeb9ab16859306a12f2443a18e,刪(進垃圾桶),1DzHJB3N9z7A1_uz4qbrDQ4ILxMNx1KMH,12.求道對我有什麼好處(補充資料).mp3,4.6,12.求道對我有什麼好處(補充資料).mp3
eb2426ed3acefaf6b41679aa12a2f2c7,刪(進垃圾桶),12RZ1ohfja6DJuQLP_4sWwW8ML1f1fViH,10.求道是求什麼(補充資料).mp3,0.9,10.求道是求什麼(補充資料).mp3
e31a482ce741b36ad5a0e8572e8d8283,刪(進垃圾桶),1ZTYs44_2oCXNwmtPE6GCxMnJW3qXwDVB,04.道脈源流.mp3,5.3,04.道脈源流.mp3
987fcf13856053c6530afd11b8856f1b,刪(進垃圾桶),1WbFPEYwhKHtXpNOpv_-Cl6rl0UtWZ0fn,02.目錄.mp3,0.8,02.目錄.mp3
06df2ab7f4febd057470c370318c4df5,刪(進垃圾桶),1emSDBVyjHPgAg2tjLQgiY0drb4X-HokC,05.何謂先天大道.mp3,4.1,05.何謂先天大道.mp3
00299d905d5795ad3ded2f1144dec23a,刪(進垃圾桶),1EMFZmFlYpK4ql88yoEltWt2oKdbDDXwi,03.何謂三曹普渡.mp3,6.7,03.何謂三曹普渡.mp3
12f01bef35100544ee6d0947252ddb0e,刪(進垃圾桶),11LO7iSwAxYdc-Cq2R4oJJnJOJD9smjv1,09.求道是求什麼.mp3,7.4,09.求道是求什麼.mp3
9167a2e44caf1054ac976829c33deec6,刪(進垃圾桶),1oBaEMkHQ9Fn-Q-FoltYKiWcZ39dgOOfA,06.何謂先天大道(補充資料).mp3,1.4,06.何謂先天大道(補充資料).mp3
